,carat,cut,cut_ord,color,clarity,clarity_ord,price
90,0.63,Very Good,3,F,VS2,5,2781.49
91,1.58,Premium,4,D,SI1,3,10023.94
92,0.3,Very Good,3,D,VS2,5,5.2
93,1.56,Ideal,5,G,VVS2,6,11375.78
94,0.26,Very Good,3,F,VVS2,6,122.68
95,0.57,Ideal,5,E,VS2,5,2592.91
96,0.39,Ideal,5,F,IF,8,2440.57
97,1.13,Very Good,3,G,SI2,2,5625.99
98,1.09,Ideal,5,H,SI1,3,6059.67
99,1.52,Ideal,5,E,SI2,2,9223.26
100,1.01,Very Good,3,E,VS1,4,5524.43
101,1.21,Premium,4,H,SI2,2,6457.13
102,0.5,Ideal,5,H,SI1,3,1096
103,1.33,Premium,4,E,SI2,2,7466.69
104,0.52,Very Good,3,D,VS2,5,1856.06
105,0.33,Ideal,5,H,SI2,2,-788.21
106,1.06,Premium,4,G,SI2,2,5195.18
107,0.9,Premium,4,F,SI2,2,3849.1
108,0.92,Ideal,5,H,VS1,4,5083.46
109,1.54,Premium,4,D,VS2,5,10595.42
110,1,Premium,4,E,SI2,2,4690.4
111,1.2,Ideal,5,G,VS1,4,7439.1
112,1,Ideal,5,E,SI1,3,5302.5
113,0.33,Very Good,3,E,SI1,3,-650.41
114,0.38,Ideal,5,E,IF,8,2356.44
115,0.55,Ideal,5,H,VVS2,6,2878.65
116,0.31,Premium,4,J,VS2,5,247.43
117,1.13,Ideal,5,D,VS1,4,6850.19
118,0.33,Premium,4,D,SI1,3,-492.31
119,1.03,Premium,4,E,VS2,5,6304.79
120,0.53,Very Good,3,F,SI1,3,1032.19
121,1,Good,2,F,I1,1,3920.2
122,0.8,Very Good,3,F,VS1,4,3757.7
123,1.25,Good,2,I,SI2,2,6477.45
124,0.5,Very Good,3,E,SI1,3,779.8
125,0.56,Ideal,5,D,VS2,5,2508.78
126,0.46,Ideal,5,J,VS2,5,1667.48
127,2.1,Premium,4,H,SI2,2,13944.7
128,0.77,Ideal,5,D,SI1,3,3367.51
129,0.53,Premium,4,H,VS2,5,2098.29
130,0.75,Very Good,3,F,VS1,4,3337.05
131,0.41,Premium,4,F,VVS2,6,1542.73
132,0.41,Ideal,5,G,VVS1,7,2154.83
133,0.51,Ideal,5,D,VS2,5,2088.13
134,0.34,Premium,4,G,VS2,5,499.82
135,0.51,Ideal,5,E,SI2,2,726.13
136,0.3,Premium,4,H,SI1,3,-744.7
137,1.5,Good,2,G,SI2,2,8580.7
138,1.01,Very Good,3,F,SI2,2,4616.43
139,1.1,Ideal,5,G,VS1,4,6597.8
140,0.5,Good,2,D,SI1,3,621.7
141,1,Good,2,E,VVS2,6,6190.2
142,1.22,Ideal,5,J,VS1,4,7607.36
143,1.51,Ideal,5,H,SI2,2,9139.13
144,0.31,Ideal,5,E,VVS1,7,1313.53
145,0.95,Premium,4,E,SI2,2,4269.75
146,1.06,Very Good,3,I,SI2,2,5037.08
147,1.39,Premium,4,E,VS2,5,9333.47
148,1.01,Very Good,3,H,VS2,5,5978.43
149,0.72,Premium,4,D,SI1,3,2788.76
150,0.51,Premium,4,D,VS1,4,1476.03
151,1.5,Very Good,3,D,SI2,2,8738.8
152,0.7,Premium,4,G,VVS1,7,4436.5
153,1.01,Premium,4,H,SI2,2,4774.53
154,0.3,Ideal,5,I,SI1,3,-586.6
155,1.29,Premium,4,F,SI1,3,7584.17
156,1.01,Very Good,3,F,VS2,5,5978.43
157,0.33,Ideal,5,I,VS2,5,573.79
158,1.53,Premium,4,H,SI2,2,9149.29
159,0.85,Premium,4,D,SI2,2,3428.45
160,0.33,Ideal,5,G,VS2,5,573.79
161,0.6,Ideal,5,D,VVS1,7,3753.3
162,0.63,Premium,4,I,VS1,4,2485.59
163,1.04,Premium,4,G,SI2,2,5026.92
164,2.01,Very Good,3,H,SI2,2,13029.43
165,0.71,Premium,4,E,SI1,3,2704.63
166,0.3,Very Good,3,G,VVS2,6,459.2
167,1.74,Ideal,5,J,VS1,4,11982.12
168,1.06,Ideal,5,E,SI1,3,5807.28
169,0.7,Fair,1,G,SI1,3,2146.2
170,1.52,Very Good,3,G,VS2,5,10269.06
171,0.41,Ideal,5,F,VS2,5,1246.83
172,1.22,Ideal,5,G,VS1,4,7607.36
173,0.37,Premium,4,E,SI1,3,-155.79
174,0.3,Premium,4,H,SI1,3,-744.7
175,0.54,Premium,4,E,SI1,3,1274.42
176,0.37,Ideal,5,E,VS2,5,910.31
177,1.5,Premium,4,E,VVS2,6,10712.9
178,0.62,Very Good,3,G,VS2,5,2697.36
179,1.33,Premium,4,H,SI2,2,7466.69
180,1.51,Very Good,3,J,SI2,2,8822.93
181,0.31,Ideal,5,H,VVS1,7,1313.53
182,0.38,Ideal,5,G,SI2,2,-367.56
183,0.31,Ideal,5,I,VS1,4,-48.47
184,0.34,Premium,4,G,VVS2,6,953.82
185,0.75,Good,2,E,SI2,2,2270.95
186,0.28,Very Good,3,F,VVS2,6,290.94
187,1.23,Very Good,3,G,SI2,2,6467.29
188,0.75,Good,2,E,SI1,3,2724.95
189,1.11,Ideal,5,H,VVS2,6,7589.93
190,2.07,Very Good,3,I,SI1,3,13988.21
191,1,Premium,4,D,SI1,3,5144.4
192,0.79,Ideal,5,F,SI1,3,3535.77
193,0.31,Ideal,5,G,VS1,4,-48.47
194,0.31,Premium,4,I,VVS1,7,1155.43
195,1,Ideal,5,H,SI1,3,5302.5
196,0.41,Premium,4,G,VS1,4,634.73
197,0.51,Premium,4,E,SI1,3,1022.03
198,1.91,Very Good,3,F,SI1,3,12642.13
199,1.19,Very Good,3,E,VS2,5,7492.77
200,0.32,Premium,4,F,VVS1,7,1239.56
201,0.55,Ideal,5,F,SI2,2,1062.65
202,0.32,Ideal,5,F,IF,8,1851.66
203,1.09,Ideal,5,G,SI2,2,5605.67
204,0.9,Very Good,3,I,VVS1,7,5961
205,0.74,Ideal,5,E,VS2,5,4023.12
206,0.9,Very Good,3,G,VS2,5,5053
207,0.76,Ideal,5,D,VS1,4,3737.38
208,0.73,Ideal,5,D,SI2,2,2576.99
209,0.52,Good,2,G,SI1,3,789.96
210,0.73,Premium,4,E,SI1,3,2872.89
211,0.76,Premium,4,I,VS2,5,4033.28
212,0.48,Good,2,F,VS1,4,907.44
213,1.5,Fair,1,D,SI1,3,8876.6
214,0.37,Very Good,3,F,SI1,3,-313.89
215,0.43,Premium,4,E,VS2,5,1256.99
216,0.58,Ideal,5,E,VVS2,6,3131.04
217,1.01,Ideal,5,D,SI1,3,5386.63
218,0.28,Ideal,5,H,VS1,4,-300.86
219,0.53,Very Good,3,G,VS1,4,1486.19
220,0.9,Very Good,3,I,VS2,5,5053
221,0.3,Ideal,5,F,VVS1,7,1229.4
222,1.51,Premium,4,D,SI2,2,8981.03
223,1.01,Premium,4,G,SI2,2,4774.53
224,0.31,Ideal,5,F,VS2,5,405.53
225,0.66,Ideal,5,D,VS2,5,3350.08
226,0.56,Premium,4,D,SI1,3,1442.68
227,0.28,Very Good,3,E,VVS2,6,290.94
228,0.55,Ideal,5,F,SI2,2,1062.65
229,0.29,Ideal,5,G,IF,8,1599.27
230,0.36,Ideal,5,E,VS1,4,372.18
231,0.31,Ideal,5,D,SI1,3,-502.47
232,0.58,Very Good,3,G,VVS2,6,2814.84
233,0.4,Premium,4,D,SI2,2,-357.4
234,0.29,Ideal,5,I,VS1,4,-216.73
235,0.62,Very Good,3,E,VS1,4,2243.36
236,0.73,Ideal,5,E,SI2,2,2576.99
237,2.01,Very Good,3,J,SI2,2,13029.43
238,0.7,Very Good,3,G,I1,1,1554.4
239,0.54,Good,2,D,SI2,2,504.22
240,0.3,Fair,1,D,VVS2,6,143
241,0.38,Ideal,5,H,VVS1,7,1902.44
242,0.7,Premium,4,G,VS1,4,3074.5
243,0.82,Ideal,5,E,SI2,2,3334.16
244,0.41,Ideal,5,E,VVS2,6,1700.83
245,0.64,Ideal,5,G,IF,8,4543.82
246,1.01,Very Good,3,H,VS1,4,5524.43
247,0.58,Very Good,3,I,VS2,5,2360.84
248,0.34,Ideal,5,D,VS1,4,203.92
249,0.85,Ideal,5,E,VS1,4,4494.55
250,0.91,Good,2,G,SI2,2,3617.03
251,0.91,Premium,4,G,SI2,2,3933.23
252,0.5,Fair,1,E,VS2,5,1371.6
253,1,Premium,4,F,VS2,5,6052.4
254,1.5,Very Good,3,G,SI1,3,9192.8
255,1.26,Ideal,5,H,VS1,4,7943.88
256,0.35,Premium,4,D,SI2,2,-778.05
257,1.09,Premium,4,I,VS2,5,6809.57
258,0.3,Ideal,5,F,VS2,5,321.4
259,0.27,Ideal,5,E,VS1,4,-384.99
260,0.32,Ideal,5,E,VVS2,6,943.66
261,1.09,Premium,4,I,VS1,4,6355.57
262,0.4,Premium,4,F,SI1,3,96.6
263,1.04,Ideal,5,E,VVS2,6,7001.02
264,0.51,Premium,4,E,VS2,5,1930.03
265,0.73,Ideal,5,H,SI1,3,3030.99
266,1.01,Good,2,H,SI2,2,4458.33
267,1.34,Ideal,5,G,VS2,5,9070.92
268,0.52,Ideal,5,G,VVS2,6,2626.26
269,1.21,Good,2,H,VS1,4,7048.93
270,0.35,Ideal,5,F,VS1,4,288.05
271,0.7,Ideal,5,G,VVS2,6,4140.6
272,0.7,Premium,4,G,SI1,3,2620.5
273,0.42,Very Good,3,G,SI1,3,106.76
274,0.38,Premium,4,D,SI2,2,-525.66
275,0.3,Ideal,5,G,VS1,4,-132.6
276,0.91,Premium,4,F,SI2,2,3933.23
277,1.11,Premium,4,G,SI1,3,6069.83
278,0.3,Good,2,G,IF,8,1209.1
279,0.32,Ideal,5,F,VVS1,7,1397.66
280,0.42,Ideal,5,F,VS2,5,1330.96
281,0.54,Ideal,5,G,VVS2,6,2794.52
282,2.03,Very Good,3,I,VS2,5,14559.69
283,0.4,Good,2,F,VS2,5,688.4
284,0.57,Premium,4,H,VS1,4,1980.81
285,0.72,Ideal,5,J,VVS1,7,4762.86
286,1.3,Premium,4,I,SI1,3,7668.3
287,1.01,Premium,4,E,VS2,5,6136.53
288,0.39,Ideal,5,G,SI2,2,-283.43
289,0.43,Ideal,5,F,VVS2,6,1869.09
290,0.77,Premium,4,I,SI1,3,3209.41
291,0.53,Ideal,5,F,VVS1,7,3164.39
292,0.65,Very Good,3,I,IF,8,4311.75
293,0.33,Premium,4,D,SI2,2,-946.31
294,1.02,Premium,4,F,SI2,2,4858.66
295,0.31,Premium,4,G,VVS1,7,1155.43
296,0.36,Ideal,5,F,SI1,3,-81.82
297,0.3,Very Good,3,H,VVS1,7,913.2
298,0.9,Very Good,3,H,SI2,2,3691
299,1.05,Ideal,5,G,SI1,3,5723.15
300,1.5,Good,2,D,SI2,2,8580.7
301,0.9,Very Good,3,H,VS1,4,4599
302,0.72,Very Good,3,E,SI1,3,2630.66
303,0.42,Premium,4,G,VS2,5,1172.86
304,0.53,Premium,4,I,VVS1,7,3006.29
305,0.51,Very Good,3,F,SI1,3,863.93
306,0.51,Ideal,5,H,VS2,5,2088.13
307,0.86,Premium,4,F,SI2,2,3512.58
308,1.51,Premium,4,H,SI1,3,9435.03
309,0.37,Ideal,5,F,VS1,4,456.31
310,0.56,Premium,4,D,SI1,3,1442.68
311,1.59,Premium,4,I,VS2,5,11016.07
312,0.73,Ideal,5,H,SI1,3,3030.99
313,0.31,Ideal,5,F,IF,8,1767.53
314,0.4,Very Good,3,F,SI1,3,-61.5
315,0.52,Ideal,5,F,VS2,5,2172.26
316,1.04,Premium,4,H,SI1,3,5480.92
317,1,Ideal,5,J,VS1,4,5756.5
318,0.78,Ideal,5,F,SI1,3,3451.64
319,0.76,Ideal,5,J,SI1,3,3283.38
320,0.71,Premium,4,E,VS2,5,3612.63
321,0.9,Ideal,5,G,SI2,2,4007.2
322,1.01,Very Good,3,E,SI2,2,4616.43
323,0.81,Very Good,3,G,SI2,2,2933.83
324,0.36,Ideal,5,F,VVS2,6,1280.18
325,0.61,Ideal,5,I,SI2,2,1567.43
326,0.51,Ideal,5,E,VS2,5,2088.13
327,0.24,Ideal,5,E,VVS2,6,270.62
328,0.52,Ideal,5,H,IF,8,3534.26
329,1,Premium,4,H,SI2,2,4690.4
330,0.31,Ideal,5,H,VVS2,6,859.53
331,1.08,Premium,4,H,VS1,4,6271.44
332,0.7,Good,2,D,VS2,5,3212.3
333,0.3,Very Good,3,F,VVS1,7,913.2
334,0.3,Ideal,5,H,SI1,3,-586.6
335,0.7,Very Good,3,G,VS2,5,3370.4
336,0.72,Ideal,5,E,SI2,2,2492.86
337,0.3,Ideal,5,H,VVS1,7,1229.4
338,0.76,Premium,4,F,SI1,3,3125.28
339,0.41,Very Good,3,D,SI1,3,22.63
340,0.41,Premium,4,E,SI1,3,180.73
341,0.4,Very Good,3,D,SI2,2,-515.5
342,1.54,Good,2,E,SI1,3,9371.22
343,0.55,Ideal,5,E,VVS2,6,2878.65
344,0.57,Ideal,5,H,SI1,3,1684.91
345,0.53,Ideal,5,E,VS2,5,2256.39
346,0.33,Very Good,3,E,VS2,5,257.59
347,1.53,Premium,4,D,SI2,2,9149.29
348,0.52,Ideal,5,H,SI1,3,1264.26
349,1.01,Very Good,3,F,VVS1,7,6886.43
350,0.91,Very Good,3,D,SI1,3,4229.13
351,0.54,Premium,4,F,VS2,5,2182.42
352,0.53,Premium,4,H,SI1,3,1190.29
353,1.02,Premium,4,G,VS2,5,6220.66
354,0.3,Premium,4,H,VS1,4,-290.7
355,2.05,Ideal,5,H,SI2,2,13682.15
356,0.3,Premium,4,D,VS2,5,163.3
357,0.3,Premium,4,H,VS1,4,-290.7
358,0.9,Very Good,3,J,VS1,4,4599
359,2.25,Ideal,5,I,SI2,2,15364.75
360,0.42,Ideal,5,G,VVS1,7,2238.96
361,0.7,Good,2,F,SI2,2,1850.3
362,1.2,Very Good,3,I,SI1,3,6668.9
363,1.52,Premium,4,G,SI1,3,9519.16
364,0.33,Ideal,5,G,VVS1,7,1481.79
365,1.21,Premium,4,J,VVS2,6,8273.13
366,0.23,Very Good,3,E,VVS2,6,-129.71
367,0.31,Ideal,5,H,VVS2,6,859.53
368,0.5,Ideal,5,F,SI1,3,1096
369,1.01,Very Good,3,H,SI1,3,5070.43
370,0.76,Ideal,5,H,VS2,5,4191.38
371,0.31,Premium,4,E,VVS2,6,701.43
372,1.77,Ideal,5,D,SI2,2,11326.51
373,0.4,Very Good,3,G,SI1,3,-61.5
374,0.51,Very Good,3,G,VS2,5,1771.93
375,0.54,Ideal,5,F,VVS1,7,3248.52
376,0.3,Ideal,5,F,SI1,3,-586.6
377,1.06,Ideal,5,I,SI2,2,5353.28
378,0.81,Ideal,5,F,VS1,4,4158.03
379,0.58,Ideal,5,D,SI1,3,1769.04
380,0.53,Good,2,H,SI1,3,874.09
381,0.3,Very Good,3,E,SI1,3,-902.8
382,1.09,Premium,4,F,SI1,3,5901.57
383,1.17,Ideal,5,I,SI2,2,6278.71
384,1.53,Ideal,5,I,VS2,5,10669.39
385,1.03,Good,2,E,SI2,2,4626.59
386,0.35,Premium,4,I,SI1,3,-324.05
387,1,Very Good,3,D,VS2,5,5894.3
388,2.01,Premium,4,G,SI2,2,13187.53
389,0.32,Premium,4,G,VS1,4,-122.44
390,1.01,Ideal,5,F,SI2,2,4932.63
391,0.4,Very Good,3,D,VS2,5,846.5
392,1.12,Premium,4,D,SI2,2,5699.96
393,1.24,Very Good,3,H,VVS2,6,8367.42
394,0.52,Ideal,5,E,VS2,5,2172.26
395,0.82,Very Good,3,F,VVS2,6,4833.96
396,1.05,Good,2,G,SI2,2,4794.85
397,1,Very Good,3,F,VS2,5,5894.3
398,0.81,Very Good,3,J,SI1,3,3387.83
399,1.02,Very Good,3,E,VS1,4,5608.56
400,0.75,Fair,1,J,VS1,4,3020.85
401,0.4,Very Good,3,D,SI2,2,-515.5
402,2.04,Premium,4,F,SI2,2,13439.92
403,0.52,Ideal,5,E,VS2,5,2172.26
404,0.8,Very Good,3,F,VS2,5,4211.7
405,1.01,Very Good,3,F,VS1,4,5524.43
406,0.43,Premium,4,E,SI1,3,348.99
407,1.13,Premium,4,G,VVS1,7,8054.09
408,0.4,Ideal,5,F,IF,8,2524.7
409,1.05,Premium,4,G,VS1,4,6019.05
410,0.41,Good,2,E,VS2,5,772.53
411,1.01,Ideal,5,G,VS2,5,6294.63
412,0.7,Fair,1,G,SI1,3,2146.2
413,0.55,Ideal,5,G,VVS1,7,3332.65
414,0.53,Ideal,5,E,VS2,5,2256.39
415,1.16,Ideal,5,F,VS2,5,7556.58
416,0.3,Ideal,5,F,VS1,4,-132.6
417,0.7,Ideal,5,F,VS2,5,3686.6
418,0.33,Very Good,3,F,VVS2,6,711.59
419,0.71,Premium,4,E,VS2,5,3612.63
420,0.71,Premium,4,E,VS1,4,3158.63
421,0.33,Ideal,5,G,IF,8,1935.79
422,1.58,Ideal,5,I,SI1,3,10182.04
423,1.63,Premium,4,I,VS1,4,10898.59
424,0.38,Ideal,5,E,IF,8,2356.44
425,1.29,Premium,4,I,VS1,4,8038.17
426,1.1,Very Good,3,I,SI2,2,5373.6
427,1.73,Premium,4,F,SI2,2,10831.89
428,1.01,Fair,1,F,SI1,3,4754.23
429,0.41,Very Good,3,E,SI2,2,-431.37
430,0.9,Premium,4,I,VS2,5,5211.1
431,0.3,Ideal,5,I,VS1,4,-132.6
432,0.27,Ideal,5,E,VS1,4,-384.99
433,0.28,Very Good,3,H,SI1,3,-1071.06
434,1.17,Ideal,5,H,VS2,5,7640.71
435,1.02,Premium,4,E,SI1,3,5312.66
436,0.34,Ideal,5,E,VVS1,7,1565.92
437,0.45,Good,2,F,VS1,4,655.05
438,0.75,Ideal,5,G,SI2,2,2745.25
439,0.31,Ideal,5,F,VVS2,6,859.53
440,0.38,Ideal,5,D,VVS2,6,1448.44
441,0.39,Premium,4,G,VS2,5,920.47
442,0.54,Ideal,5,G,SI1,3,1432.52
443,0.7,Premium,4,D,SI1,3,2620.5
444,0.31,Ideal,5,E,IF,8,1767.53
445,1.21,Ideal,5,F,VS2,5,7977.23
446,0.33,Premium,4,G,VS1,4,-38.31
447,1.11,Very Good,3,J,VS1,4,6365.73
448,0.31,Ideal,5,F,VS2,5,405.53
449,0.32,Very Good,3,F,VS2,5,173.46
450,0.28,Very Good,3,E,VVS2,6,290.94
451,2.17,Very Good,3,H,SI2,2,14375.51
452,0.35,Good,2,H,VS2,5,267.75
453,0.57,Ideal,5,F,VVS1,7,3500.91
454,1.02,Ideal,5,I,SI1,3,5470.76
455,0.77,Ideal,5,J,VS2,5,4275.51
456,0.55,Ideal,5,F,SI2,2,1062.65
457,0.91,Premium,4,G,SI1,3,4387.23
458,1.01,Very Good,3,G,VS2,5,5978.43
459,0.33,Ideal,5,G,VVS2,6,1027.79
460,0.9,Good,2,H,VS2,5,4894.9
461,0.31,Premium,4,G,VS2,5,247.43
462,0.3,Ideal,5,D,VS1,4,-132.6
463,0.39,Ideal,5,H,SI2,2,-283.43
464,0.63,Very Good,3,G,VS1,4,2327.49
465,0.71,Ideal,5,F,SI1,3,2862.73
466,1.02,Ideal,5,G,VS2,5,6378.76
467,0.56,Very Good,3,J,VS2,5,2192.58
468,0.53,Ideal,5,E,VS1,4,1802.39
469,0.92,Good,2,D,SI2,2,3701.16
470,0.3,Ideal,5,G,VS1,4,-132.6
471,0.52,Very Good,3,F,VVS2,6,2310.06
472,0.36,Ideal,5,E,VS1,4,372.18
473,2.02,Ideal,5,F,SI2,2,13429.76
474,0.54,Ideal,5,D,VS2,5,2340.52
475,0.76,Very Good,3,J,VS1,4,3421.18
476,1.21,Very Good,3,F,VS2,5,7661.03
477,0.3,Premium,4,F,VS2,5,163.3
478,0.9,Very Good,3,E,SI1,3,4145
479,0.36,Ideal,5,D,SI2,2,-535.82
480,0.71,Ideal,5,I,SI1,3,2862.73
481,1.09,Ideal,5,E,VS2,5,6967.67
482,0.31,Ideal,5,D,VVS2,6,859.53
483,0.3,Very Good,3,G,VS1,4,-448.8
484,0.4,Ideal,5,I,VS2,5,1162.7
485,0.3,Ideal,5,E,VVS2,6,775.4
486,1.7,Premium,4,F,VS2,5,11941.5
487,0.43,Very Good,3,E,SI1,3,190.89
488,0.53,Ideal,5,F,VVS2,6,2710.39
489,0.41,Ideal,5,G,VS1,4,792.83
490,0.72,Premium,4,E,SI1,3,2788.76
491,1,Good,2,G,VS2,5,5736.2
492,0.37,Ideal,5,F,VVS2,6,1364.31
493,0.5,Very Good,3,G,SI1,3,779.8
494,0.31,Ideal,5,G,VVS1,7,1313.53
495,1.01,Very Good,3,F,VS2,5,5978.43
496,0.33,Ideal,5,E,VS2,5,573.79
497,0.35,Good,2,I,SI1,3,-640.25
498,0.3,Ideal,5,E,VVS2,6,775.4
499,0.37,Premium,4,J,VS2,5,752.21
500,1.21,Ideal,5,G,VS2,5,7977.23
501,1.05,Ideal,5,E,VVS2,6,7085.15
502,1.11,Premium,4,D,VS2,5,6977.83
503,0.57,Ideal,5,D,VS2,5,2592.91
504,1.01,Very Good,3,E,SI2,2,4616.43
505,0.51,Ideal,5,I,VS2,5,2088.13
506,0.52,Ideal,5,G,VS1,4,1718.26
507,0.58,Ideal,5,G,SI1,3,1769.04
508,0.26,Very Good,3,E,VVS1,7,576.68
509,0.85,Fair,1,H,I1,1,2500.15
510,0.43,Ideal,5,G,VVS1,7,2323.09
511,0.25,Ideal,5,G,VVS1,7,808.75
512,0.78,Ideal,5,H,SI1,3,3451.64
513,1,Ideal,5,D,SI1,3,5302.5
514,0.31,Good,2,D,SI2,2,-1430.77
515,0.44,Premium,4,G,VS2,5,1341.12
516,0.5,Premium,4,G,VVS2,6,2299.9
517,1.82,Very Good,3,G,SI1,3,11884.96
518,0.4,Very Good,3,D,VVS2,6,1300.5
519,0.33,Premium,4,H,VS2,5,415.69
520,0.71,Premium,4,G,SI1,3,2704.63
521,2.03,Very Good,3,I,VS2,5,14559.69
522,0.25,Ideal,5,H,VS1,4,-553.25
523,1.1,Premium,4,F,VS2,5,6893.7
524,0.91,Very Good,3,G,VS1,4,4683.13
525,0.54,Ideal,5,D,VS1,4,1886.52
526,0.9,Good,2,D,SI1,3,3986.9
527,1.09,Good,2,H,SI1,3,5585.37
528,1.57,Ideal,5,H,I1,1,9189.91
529,0.71,Ideal,5,F,VS1,4,3316.73
530,0.72,Good,2,G,VS2,5,3380.56
531,1.12,Ideal,5,H,SI1,3,6312.06
532,0.31,Ideal,5,H,IF,8,1767.53
533,0.7,Ideal,5,F,SI1,3,2778.6
534,0.53,Ideal,5,H,VS1,4,1802.39
535,0.3,Ideal,5,H,IF,8,1683.4
536,0.73,Premium,4,G,VVS2,6,4234.89
537,0.4,Premium,4,E,VS1,4,550.6
538,1.09,Premium,4,H,SI1,3,5901.57
539,1.21,Premium,4,I,VS2,5,7819.13
540,0.32,Ideal,5,D,VVS2,6,943.66
541,0.31,Ideal,5,G,VVS1,7,1313.53
542,0.43,Premium,4,I,IF,8,2618.99
543,0.3,Ideal,5,E,VS2,5,321.4
544,1,Ideal,5,H,I1,1,4394.5
545,0.3,Ideal,5,E,SI2,2,-1040.6
546,0.61,Very Good,3,G,VS2,5,2613.23
547,0.33,Very Good,3,E,SI1,3,-650.41
548,0.62,Premium,4,F,VS2,5,2855.46
